ID	USER_ID	TRACK_NAME	ARTIST	PLAYLIST_ID	PLAYLIST_NAME	GENRES
1	sitevagalume	Eraser	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
2	sitevagalume	Castle On The Hill	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
3	sitevagalume	Dive	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
4	sitevagalume	Shape Of You	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
5	sitevagalume	Perfect	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
6	sitevagalume	Galway Girl	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
7	sitevagalume	Happier	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
8	sitevagalume	Hearts Don't Break Around Here	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
9	sitevagalume	What do I Know	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
10	sitevagalume	How Would You Feel (Paean)	Ed Sheeran	6736120	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
7566	marle23	Agora Já Sei	Ivete Sangalo	482836	Românticas	Romântico,Pop,Pop/Rock
7567	marle23	Quando A Chuva Passar	Ivete Sangalo	482836	Românticas	Romântico,Pop,Pop/Rock
7568	marle23	Se Eu Não Te Amasse Tanto Assim	Ivete Sangalo	482836	Românticas	Romântico,Pop,Pop/Rock
7569	marle23	Não Precisa Mudar	Ivete Sangalo	482836	Românticas	Romântico,Pop,Pop/Rock
7570	marle23	Deixo	Ivete Sangalo	482836	Românticas	Romântico,Pop,Pop/Rock
7571	marle23	A Lua Q Eu T Dei	Ivete Sangalo	482836	Românticas	Romântico,Pop,Pop/Rock
7572	marle23	Fly (feat. Ja Rule)	Wanessa Camargo	482836	Românticas	Romântico,Pop,Pop/Rock
7573	marle23	Amigo Fura Olho	Latino	482836	Românticas	Romântico,Pop,Pop/Rock
2	marle23	Castle On The Hill	Ed Sheeran	482836	Ed Sheeran - Divide	Pop,Rock,Pop/Rock
7574	marle23	Se Vira	Latino	482836	Românticas	Romântico,Pop,Pop/Rock
7575	marle23	Meu Eu em Você	Victor e Leo	482836	Românticas	Romântico,Pop,Pop/Rock
7576	marle23	Amigo Apaixonado	Victor e Leo	482836	Românticas	Romântico,Pop,Pop/Rock
7577	marle23	Borboletas	Victor e Leo	482836	Românticas	Romântico,Pop,Pop/Rock
7578	marle23	Ao Vivo E Em Cores	Victor e Leo	482836	Românticas	Romântico,Pop,Pop/Rock
7579	marle23	Tem Que Ser Você	Victor e Leo	482836	Românticas	Romântico,Pop,Pop/Rock
10559	kareenheeloisa	We No Speak Americano	Yolanda Be Cool	695157	Dancees'   ;P	Romântico,Pop,Trilha Sonora
10560	kareenheeloisa	Gettin' Over You (feat. Chris Willis, Fergie, LMFAO)	David Guetta	695157	Dancees'   ;P	Romântico,Pop,Trilha Sonora
10561	kareenheeloisa	Like a G6	Dev	695157	Dancees'   ;P	Romântico,Pop,Trilha Sonora
10562	kareenheeloisa	We R Who We R	Ke$ha	695157	Dancees'   ;P	Romântico,Pop,Trilha Sonora
10563	kareenheeloisa	Cannibal	Ke$ha	695157	Dancees'   ;P	Romântico,Pop,Trilha Sonora
10564	kareenheeloisa	Take It Off	Ke$ha	695157	Dancees'   ;P	Romântico,Pop,Trilha Sonora
10565	kareenheeloisa	Tik Tok	Ke$ha	695157	Dancees'   ;P	Romântico,Pop,Trilha Sonora
6858	8902446	Dona do Meu Pensamento	Charlie Brown Jr	473352	sóo nacionais'	Rock,Pop/Rock,Reggae
6859	8902446	Uma Criança Com Seu Olhar	Charlie Brown Jr	473352	sóo nacionais'	Rock,Pop/Rock,Reggae
6860	8902446	Champanhe E Água Benta	Charlie Brown Jr	473352	sóo nacionais'	Rock,Pop/Rock,Reggae
6861	8902446	Dias de Luta, Dias de Glória	Charlie Brown Jr	473352	sóo nacionais'	Rock,Pop/Rock,Reggae
6862	8902446	Ela Vai Voltar (Todos Os Defeitos de Uma Mulher Perfeita)	Charlie Brown Jr	473352	sóo nacionais'	Rock,Pop/Rock,Reggae
6863	8902446	Hoje Eu Acordei Feliz	Charlie Brown Jr	473352	sóo nacionais'	Rock,Pop/Rock,Reggae
6864	8902446	Lugar Ao Sol	Charlie Brown Jr	473352	sóo nacionais'	Rock,Pop/Rock,Reggae